App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Paper flowers instructions§ART_AND_DESIGN§4.4§167§5.6M§50,000+§Free§0§Everyone§Art & Design§March 26, 2017§1.0§2.3 and up
21-Day Meditation Experience§HEALTH_AND_FITNESS§4.4§11506§15M§100,000+§Free§0§Everyone§Health & Fitness§August 2, 2018§3.0.0§4.1 and up
White Noise Lite§HEALTH_AND_FITNESS§4.4§57634§41M§1,000,000+§Free§0§Everyone§Health & Fitness§June 25, 2018§7.4§4.1 and up
Daily Yoga - Yoga Fitness Plans§HEALTH_AND_FITNESS§4.4§70769§35M§5,000,000+§Free§0§Everyone§Health & Fitness§July 24, 2018§6.2.73§4.0 and up
Trulia Rent Apartments & Homes§HOUSE_AND_HOME§4.4§71419§Varies with device§5,000,000+§Free§0§Everyone§House & Home§July 24, 2018§Varies with device§Varies with device
DaBang - Rental Homes in Korea§HOUSE_AND_HOME§4.4§23013§26M§5,000,000+§Free§0§Everyone§House & Home§July 17, 2018§3.2.4§4.1 and up
Zumper - Apartment Rental Finder§HOUSE_AND_HOME§4.4§11200§25M§1,000,000+§Free§0§Everyone§House & Home§July 16, 2018§4.5.15§5.0 and up
RadPad: Apartment Finder App§HOUSE_AND_HOME§4.4§6896§35M§500,000+§Free§0§Everyone§House & Home§August 30, 2017§1.7.3§4.1 and up
Trulia Rent Apartments & Homes§HOUSE_AND_HOME§4.4§71421§Varies with device§5,000,000+§Free§0§Everyone§House & Home§July 24, 2018§Varies with device§Varies with device
Quotes§LIBRARIES_AND_DEMO§4.4§58§15M§10,000+§Free§0§Everyone§Libraries & Demo§July 6, 2018§1.0§4.0.3 and up
converter video to mp3§LIBRARIES_AND_DEMO§4.4§783§6.4M§100,000+§Free§0§Everyone§Libraries & Demo§June 10, 2017§1.6§2.2 and up
Top Popular Ringtones 2018 Free 🔥§LIBRARIES_AND_DEMO§4.4§7396§22M§500,000+§Free§0§Everyone§Libraries & Demo§July 6, 2018§5.28§4.0.3 and up
Girly Wallpapers Backgrounds§LIFESTYLE§4.4§13565§3.3M§1,000,000+§Free§0§Everyone§Lifestyle§August 5, 2018§2.5§4.0 and up
Chart - Myanmar Keyboard§LIFESTYLE§4.4§39364§28M§5,000,000+§Free§0§Everyone§Lifestyle§July 17, 2018§10.19§4.0.3 and up
Family Locator - GPS Tracker§LIFESTYLE§4.4§726074§45M§10,000,000+§Free§0§Everyone§Lifestyle§August 2, 2018§16.7.1§4.4 and up
Van Nien 2018 - Lich Van su & Lich Am§LIFESTYLE§4.4§3829§23M§1,000,000+§Free§0§Everyone§Lifestyle§June 1, 2018§3.9.3§4.1 and up
Galaxy Gift§LIFESTYLE§4.4§95557§16M§10,000,000+§Free§0§Everyone§Lifestyle§July 23, 2018§7.0.8§4.0.3 and up
Been Together (Ad) - D-day§LIFESTYLE§4.4§95736§Varies with device§10,000,000+§Free§0§Everyone§Lifestyle§July 30, 2018§Varies with device§Varies with device
Scarf Fashion Designer§LIFESTYLE§4.4§16637§10M§1,000,000+§Free§0§Everyone§Lifestyle§June 18, 2017§1.8§2.3 and up
Scarf Fashion Designer§LIFESTYLE§4.4§16637§10M§1,000,000+§Free§0§Everyone§Lifestyle§June 18, 2017§1.8§2.3 and up
Real Estate by Movoto§LIFESTYLE§4.4§3114§13M§100,000+§Free§0§Everyone§Lifestyle§February 20, 2018§6.1§4.0.3 and up
Houlihan Lawrence§LIFESTYLE§4.4§33§23M§5,000+§Free§0§Everyone§Lifestyle§October 12, 2017§3.9.5§4.2 and up
Keller Williams Real Estate§LIFESTYLE§4.4§13213§22M§1,000,000+§Free§0§Everyone§Lifestyle§March 28, 2018§5.800.04§4.0.3 and up
SleepyTime: Bedtime Calculator§LIFESTYLE§4.4§19621§Varies with device§500,000+§Free§0§Everyone§Lifestyle§February 27, 2016§Varies with device§Varies with device
Candy Crush Saga§GAME§4.4§22426677§74M§500,000,000+§Free§0§Everyone§Casual§July 5, 2018§1.129.0.2§4.1 and up
slither.io§GAME§4.4§5234162§Varies with device§100,000,000+§Free§0§Everyone§Action§November 14, 2017§Varies with device§2.3 and up
Angry Birds Rio§GAME§4.4§2610526§46M§100,000,000+§Free§0§Everyone§Arcade§July 3, 2018§2.6.9§4.1 and up
Plants vs. Zombies FREE§GAME§4.4§4066989§69M§100,000,000+§Free§0§Everyone 10+§Strategy§July 6, 2018§2.2.00§4.1 and up
Candy Crush Soda Saga§GAME§4.4§6198563§67M§100,000,000+§Free§0§Everyone§Casual§July 10, 2018§1.118.4§4.1 and up
Angry Birds Classic§GAME§4.4§5566669§97M§100,000,000+§Free§0§Everyone§Arcade§May 24, 2018§7.9.3§4.1 and up
Zombie Tsunami§GAME§4.4§4920817§Varies with device§100,000,000+§Free§0§Everyone 10+§Arcade§June 15, 2018§Varies with device§Varies with device
Hill Climb Racing§GAME§4.4§8923587§63M§100,000,000+§Free§0§Everyone§Racing§July 2, 2018§1.37.2§4.2 and up
Shooting King§GAME§4.4§257724§69M§10,000,000+§Free§0§Everyone 10+§Sports§May 25, 2018§1.4.2§4.0.3 and up
Farm Heroes Saga§GAME§4.4§7614130§70M§100,000,000+§Free§0§Everyone§Casual§July 26, 2018§5.1.8§2.3 and up
Cut the Rope FULL FREE§GAME§4.4§2123381§49M§100,000,000+§Free§0§Everyone§Puzzle§July 5, 2018§3.7.2§4.1 and up
Candy Crush Saga§GAME§4.4§22428456§74M§500,000,000+§Free§0§Everyone§Casual§July 5, 2018§1.129.0.2§4.1 and up
Plants vs. Zombies FREE§GAME§4.4§4066980§69M§100,000,000+§Free§0§Everyone 10+§Strategy§July 6, 2018§2.2.00§4.1 and up
Candy Crush Soda Saga§GAME§4.4§6198880§67M§100,000,000+§Free§0§Everyone§Casual§July 10, 2018§1.118.4§4.1 and up
Angry Birds Rio§GAME§4.4§2610622§46M§100,000,000+§Free§0§Everyone§Arcade§July 3, 2018§2.6.9§4.1 and up
Zombie Tsunami§GAME§4.4§4921122§Varies with device§100,000,000+§Free§0§Everyone 10+§Arcade§June 15, 2018§Varies with device§Varies with device
Farm Heroes Saga§GAME§4.4§7614271§70M§100,000,000+§Free§0§Everyone§Casual§July 26, 2018§5.1.8§2.3 and up
slither.io§GAME§4.4§5234825§Varies with device§100,000,000+§Free§0§Everyone§Action§November 14, 2017§Varies with device§2.3 and up
Angry Birds Classic§GAME§4.4§5566805§97M§100,000,000+§Free§0§Everyone§Arcade§May 24, 2018§7.9.3§4.1 and up
Fruits Bomb§GAME§4.4§74673§17M§10,000,000+§Free§0§Everyone§Casual§July 6, 2018§3.3.3179§4.0.3 and up
Farm Fruit Pop: Party Time§GAME§4.4§9305§14M§1,000,000+§Free§0§Everyone§Casual§August 2, 2018§1.9.2§4.0.3 and up
Candy Crush Saga§GAME§4.4§22428456§74M§500,000,000+§Free§0§Everyone§Casual§July 5, 2018§1.129.0.2§4.1 and up
slither.io§GAME§4.4§5234810§Varies with device§100,000,000+§Free§0§Everyone§Action§November 14, 2017§Varies with device§2.3 and up
Paint Hit§GAME§4.4§37023§33M§10,000,000+§Free§0§Everyone§Casual§July 6, 2018§5.200§5.0 and up
Rolly Vortex§GAME§4.4§98123§40M§10,000,000+§Free§0§Teen§Arcade§May 25, 2018§1.7.0§4.1 and up
Bricks n Balls§GAME§4.4§30253§Varies with device§1,000,000+§Free§0§Everyone§Casual§August 5, 2018§1.0.1.049§4.1 and up
PUBG MOBILE§GAME§4.4§3715656§36M§50,000,000+§Free§0§Teen§Action§July 24, 2018§0.7.0§4.3 and up
Run Sausage Run!§GAME§4.4§275447§Varies with device§10,000,000+§Free§0§Everyone 10+§Arcade§August 1, 2018§Varies with device§4.1 and up
PUBG MOBILE§GAME§4.4§3714270§36M§50,000,000+§Free§0§Teen§Action§July 24, 2018§0.7.0§4.3 and up
MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing§GAME§4.4§41975§79M§1,000,000+§Free§0§Everyone§Racing§July 19, 2018§3.00.11034§5.0 and up
Harry Potter: Hogwarts Mystery§GAME§4.4§1107310§Varies with device§10,000,000+§Free§0§Teen§Adventure§August 1, 2018§1.8.2§4.4 and up
Offroad Outlaws§GAME§4.4§29168§Varies with device§1,000,000+§Free§0§Everyone§Racing§May 29, 2018§2.0.1§4.1 and up
Hero Hunters§GAME§4.4§70747§99M§5,000,000+§Free§0§Teen§Action§July 31, 2018§1.7§4.4 and up
Last Shelter: Survival§GAME§4.4§93033§98M§5,000,000+§Free§0§Teen§Strategy§August 4, 2018§1.250.078§4.0.3 and up
The Game of Life§GAME§4.4§18621§63M§100,000+§Paid§$2.99§Everyone§Board§July 4, 2018§2.1.2§4.4 and up
The Escapists§GAME§4.4§7412§84M§100,000+§Paid§$4.99§Teen§Strategy§April 26, 2018§1.1.0§2.3 and up
Candy Crush Saga§GAME§4.4§22429716§74M§500,000,000+§Free§0§Everyone§Casual§July 5, 2018§1.129.0.2§4.1 and up
Harry Potter: Hogwarts Mystery§GAME§4.4§1107197§Varies with device§10,000,000+§Free§0§Teen§Adventure§August 1, 2018§1.8.2§4.4 and up
PUBG MOBILE§GAME§4.4§3716278§36M§50,000,000+§Free§0§Teen§Action§July 24, 2018§0.7.0§4.3 and up
Love Nikki-Dress UP Queen§GAME§4.4§212524§93M§5,000,000+§Free§0§Everyone§Role Playing§July 24, 2018§3.0.0§4.0.3 and up
Fate/Grand Order (English)§GAME§4.4§16601§55M§500,000+§Free§0§Teen§Role Playing§July 26, 2018§1.18.0§4.0 and up
Lords Mobile: Battle of the Empires - Strategy RPG§GAME§4.4§3057481§14M§50,000,000+§Free§0§Teen§Strategy§July 26, 2018§1.76§2.3 and up
Candy Crush Saga§GAME§4.4§22430188§74M§500,000,000+§Free§0§Everyone§Casual§July 5, 2018§1.129.0.2§4.1 and up
Candy Crush Soda Saga§GAME§4.4§6199095§67M§100,000,000+§Free§0§Everyone§Casual§July 10, 2018§1.118.4§4.1 and up
Farm Heroes Saga§GAME§4.4§7614415§70M§100,000,000+§Free§0§Everyone§Casual§July 26, 2018§5.1.8§2.3 and up
Plants vs. Zombies FREE§GAME§4.4§4067651§69M§100,000,000+§Free§0§Everyone 10+§Strategy§July 6, 2018§2.2.00§4.1 and up
slither.io§GAME§4.4§5235294§Varies with device§100,000,000+§Free§0§Everyone§Action§November 14, 2017§Varies with device§2.3 and up
Fruits Bomb§GAME§4.4§74695§17M§10,000,000+§Free§0§Everyone§Casual§July 6, 2018§3.3.3179§4.0.3 and up
Angry Birds Classic§GAME§4.4§5566889§97M§100,000,000+§Free§0§Everyone§Arcade§May 24, 2018§7.9.3§4.1 and up
Hill Climb Racing§GAME§4.4§8923818§63M§100,000,000+§Free§0§Everyone§Racing§July 2, 2018§1.37.2§4.2 and up
Zombie Tsunami§GAME§4.4§4921451§Varies with device§100,000,000+§Free§0§Everyone 10+§Arcade§June 15, 2018§Varies with device§Varies with device
slither.io§GAME§4.4§5235294§Varies with device§100,000,000+§Free§0§Everyone§Action§November 14, 2017§Varies with device§2.3 and up
Swamp Attack§GAME§4.4§2119218§70M§50,000,000+§Free§0§Everyone 10+§Action§June 29, 2018§3.0.1§4.1 and up
DINO HUNTER: DEADLY SHORES§GAME§4.4§1381820§54M§10,000,000+§Free§0§Teen§Action§March 14, 2017§3.1.1§3.0 and up
Zombie Hunter: Post Apocalypse Survival Games§GAME§4.4§327599§66M§10,000,000+§Free§0§Teen§Action§July 28, 2017§2.4.2§2.3.3 and up
Battlelands Royale§GAME§4.4§105620§61M§1,000,000+§Free§0§Everyone 10+§Action§July 16, 2018§0.5.8§4.1 and up
Metal Soldiers 2§GAME§4.4§153381§Varies with device§10,000,000+§Free§0§Teen§Action§June 18, 2018§1.11.2§4.1 and up
Candy Crush Saga§GAME§4.4§22430188§74M§500,000,000+§Free§0§Everyone§Casual§July 5, 2018§1.129.0.2§4.1 and up
Plants vs. Zombies FREE§GAME§4.4§4067651§69M§100,000,000+§Free§0§Everyone 10+§Strategy§July 6, 2018§2.2.00§4.1 and up
Hill Climb Racing§GAME§4.4§8923847§63M§100,000,000+§Free§0§Everyone§Racing§July 2, 2018§1.37.2§4.2 and up
Candy Bomb§GAME§4.4§42145§20M§10,000,000+§Free§0§Everyone§Casual;Brain Games§July 4, 2018§2.9.3181§4.0.3 and up
Angry Birds Rio§GAME§4.4§2610680§46M§100,000,000+§Free§0§Everyone§Arcade§July 3, 2018§2.6.9§4.1 and up
Cut the Rope FULL FREE§GAME§4.4§2123793§49M§100,000,000+§Free§0§Everyone§Puzzle§July 5, 2018§3.7.2§4.1 and up
Power Pop Bubbles§GAME§4.4§104303§Varies with device§10,000,000+§Free§0§Everyone§Arcade§August 2, 2018§3.15§4.1 and up
Angry Birds Classic§GAME§4.4§5566908§97M§100,000,000+§Free§0§Everyone§Arcade§May 24, 2018§7.9.3§4.1 and up
Jewels classic Prince§GAME§4.4§47644§15M§5,000,000+§Free§0§Everyone§Puzzle§June 15, 2018§2.4.2§4.0 and up
Swamp Attack§GAME§4.4§2119235§70M§50,000,000+§Free§0§Everyone 10+§Action§June 29, 2018§3.0.1§4.1 and up
Jetpack Joyride§GAME§4.4§4638163§96M§100,000,000+§Free§0§Everyone 10+§Arcade§July 19, 2018§1.10.12§4.1 and up
Zombie Tsunami§GAME§4.4§4921409§Varies with device§100,000,000+§Free§0§Everyone 10+§Arcade§June 15, 2018§Varies with device§Varies with device
Farm Heroes Saga§GAME§4.4§7614407§70M§100,000,000+§Free§0§Everyone§Casual§July 26, 2018§5.1.8§2.3 and up
Candy Bomb§FAMILY§4.4§42145§20M§10,000,000+§Free§0§Everyone§Casual;Brain Games§July 4, 2018§2.9.3181§4.0.3 and up
Jewels Crush- Match 3 Puzzle§FAMILY§4.4§14774§19M§1,000,000+§Free§0§Everyone§Casual;Brain Games§July 23, 2018§1.9.3901§4.0.3 and up
Coloring & Learn§FAMILY§4.4§12753§51M§5,000,000+§Free§0§Everyone§Educational;Creativity§July 17, 2018§1.49§4.0.3 and up
Solitaire§FAMILY§4.4§685§26M§100,000+§Free§0§Everyone§Card;Brain Games§July 16, 2018§1.7.101§4.1 and up
Princess Adventures Puzzles§FAMILY§4.4§382§44M§500,000+§Free§0§Everyone§Education;Creativity§August 1, 2018§1.1.0§2.3 and up
PJ Masks: Moonlight Heroes§FAMILY§4.4§86961§99M§10,000,000+§Free§0§Everyone§Casual;Action & Adventure§June 5, 2018§2.0.1§4.0.3 and up
Learn To Draw Glow Flower§FAMILY§4.4§7320§10M§1,000,000+§Free§0§Everyone§Entertainment;Education§July 7, 2017§1.0.1§4.0.3 and up
Bubble Shooter§FAMILY§4.4§59843§20M§5,000,000+§Free§0§Everyone§Puzzle;Brain Games§January 9, 2018§2.3.3122§2.3 and up
Draw.ly - Color by Number Pixel Art Coloring§FAMILY§4.4§18616§10M§1,000,000+§Free§0§Everyone§Casual;Education§August 5, 2018§1.0.9§4.0.3 and up
Fruit Boom§FAMILY§4.4§17753§16M§1,000,000+§Free§0§Everyone§Casual;Brain Games§May 25, 2018§2.2.3172§4.0.3 and up
Papumba Academy - Fun Learning For Kids§FAMILY§4.4§496§94M§100,000+§Free§0§Everyone§Education;Education§July 11, 2018§1.0§4.2 and up
Cutie Cubies§FAMILY§4.4§6356§83M§500,000+§Free§0§Everyone§Puzzle;Creativity§July 4, 2018§1.180702§4.1 and up
PJ Masks: Moonlight Heroes§FAMILY§4.4§86961§99M§10,000,000+§Free§0§Everyone§Casual;Action & Adventure§June 5, 2018§2.0.1§4.0.3 and up
Car Racing game for Kids - Beepzz Dogs 🐕§FAMILY§4.4§131§48M§100,000+§Free§0§Everyone§Racing;Action & Adventure§June 13, 2018§1.1.1§4.2 and up
Plants vs. Zombies™ Heroes§FAMILY§4.4§379415§68M§10,000,000+§Free§0§Everyone§Casual;Action & Adventure§June 26, 2018§1.28.01§4.1 and up
Transformers Rescue Bots: Disaster Dash§FAMILY§4.4§19245§25M§1,000,000+§Free§0§Everyone§Casual;Action & Adventure§March 28, 2018§1.3§4.1 and up
Monster Truck Driver & Racing§FAMILY§4.4§765§51M§1,000,000+§Free§0§Everyone§Education;Action & Adventure§January 19, 2017§1.0.9§2.3 and up
Supermarket – Game for Kids§FAMILY§4.4§112080§26M§10,000,000+§Free§0§Everyone§Casual;Pretend Play§July 26, 2018§1.24§4.1 and up
Inside Out Thought Bubbles§FAMILY§4.4§623398§58M§10,000,000+§Free§0§Everyone§Puzzle;Brain Games§August 31, 2017§1.22.0§4.0.3 and up
Endless Numbers§FAMILY§4.4§2952§37M§500,000+§Free§0§Everyone§Education;Education§June 19, 2018§1.2.0§5.1 and up
LEGO® Friends§FAMILY§4.4§854§6.9M§10,000+§Paid§$4.99§Everyone§Casual;Pretend Play§December 1, 2015§Varies with device§4.0.3 and up
Block Puzzle : Night in Egypt§FAMILY§4.4§276§16M§50,000+§Free§0§Everyone§Puzzle;Brain Games§September 12, 2017§1.2.16§2.3 and up
Mosaic puzzles§FAMILY§4.4§1595§14M§500,000+§Free§0§Everyone§Puzzle;Brain Games§July 4, 2018§2.8§4.0.3 and up
All-in-One Mahjong 3§FAMILY§4.4§38§16M§100+§Paid§$0.99§Everyone§Board;Brain Games§June 14, 2018§20180609§4.0 and up
Sounds for Toddlers FREE§FAMILY§4.4§6190§23M§1,000,000+§Free§0§Everyone§Educational;Education§August 24, 2015§1.7.1§4.0 and up
Sago Mini Friends§FAMILY§4.4§13155§83M§1,000,000+§Free§0§Everyone§Education;Pretend Play§June 16, 2016§1.3§4.0.3 and up
Papumba Academy - Fun Learning For Kids§FAMILY§4.4§496§94M§100,000+§Free§0§Everyone§Education;Education§July 11, 2018§1.0§4.2 and up
Bita and the Animals - Pelos Ares§FAMILY§4.4§1160§37M§100,000+§Free§0§Everyone§Education;Music & Video§May 22, 2013§1.0§2.2 and up
Dr. Panda & Toto's Treehouse§FAMILY§4.4§3396§9.5M§50,000+§Paid§$3.99§Everyone§Casual;Pretend Play§December 9, 2014§1.8§4.0 and up
Sounds for Toddlers FREE§FAMILY§4.4§6190§23M§1,000,000+§Free§0§Everyone§Educational;Education§August 24, 2015§1.7.1§4.0 and up
Sago Mini Friends§FAMILY§4.4§13155§83M§1,000,000+§Free§0§Everyone§Education;Pretend Play§June 16, 2016§1.3§4.0.3 and up
Papumba Academy - Fun Learning For Kids§FAMILY§4.4§496§94M§100,000+§Free§0§Everyone§Education;Education§July 11, 2018§1.0§4.2 and up
Bita and the Animals - Pelos Ares§FAMILY§4.4§1160§37M§100,000+§Free§0§Everyone§Education;Music & Video§May 22, 2013§1.0§2.2 and up
Dr. Panda & Toto's Treehouse§FAMILY§4.4§3396§9.5M§50,000+§Paid§$3.99§Everyone§Casual;Pretend Play§December 9, 2014§1.8§4.0 and up
Inside Out Thought Bubbles§FAMILY§4.4§623398§58M§10,000,000+§Free§0§Everyone§Puzzle;Brain Games§August 31, 2017§1.22.0§4.0.3 and up
Sago Mini Friends§FAMILY§4.4§13155§83M§1,000,000+§Free§0§Everyone§Education;Pretend Play§June 16, 2016§1.3§4.0.3 and up
Peak – Brain Games & Training§FAMILY§4.4§272321§Varies with device§10,000,000+§Free§0§Everyone§Education;Brain Games§August 3, 2018§3.14.15§5.0 and up
iBP Blood Pressure§MEDICAL§4.4§578§704k§10,000+§Paid§$0.99§Everyone§Medical§November 30, 2014§7.0.1§2.2 and up
Muscle Trigger Point Anatomy§MEDICAL§4.4§1361§33M§50,000+§Paid§$2.99§Everyone§Medical§July 17, 2018§2.4.4§4.0.3 and up
2017 EMRA Antibiotic Guide§MEDICAL§4.4§12§3.8M§1,000+§Paid§$16.99§Everyone§Medical§January 27, 2017§1.0.5§4.0.3 and up
ASRA Coags§MEDICAL§4.4§15§5.8M§1,000+§Paid§$3.99§Everyone§Medical§August 1, 2018§2.1§4.1 and up
Medical terms (OFFLINE)§MEDICAL§4.4§104§38M§1,000+§Paid§$2.99§Teen§Medical§May 24, 2018§3.2.0§4.1 and up
Cardiac diagnosis (heart rate, arrhythmia)§MEDICAL§4.4§8§6.5M§100+§Paid§$12.99§Everyone§Medical§July 25, 2018§7§3.0 and up
Visual Anatomy 2§MEDICAL§4.4§576§Varies with device§5,000+§Paid§$2.49§Everyone§Medical§August 5, 2017§Varies with device§Varies with device
Menstrual Calendar Premium§MEDICAL§4.4§4207§Varies with device§50,000+§Paid§$3.99§Everyone§Medical§July 26, 2013§Varies with device§Varies with device
Critical Care Paramedic Review§MEDICAL§4.4§17§1.8M§1,000+§Paid§$9.99§Everyone 10+§Medical§May 14, 2018§2.0.5§4.4W and up
Manage My Pain Pro§MEDICAL§4.4§726§Varies with device§5,000+§Paid§$3.99§Everyone§Medical§March 5, 2018§Varies with device§Varies with device
CareZone§MEDICAL§4.4§27524§Varies with device§1,000,000+§Free§0§Everyone§Medical§July 30, 2018§Varies with device§Varies with device
Drugs.com Medication Guide§MEDICAL§4.4§15875§Varies with device§1,000,000+§Free§0§Everyone§Medical§May 22, 2018§Varies with device§4.4 and up
SonicCloud: Hearing App§MEDICAL§4.4§15§39M§1,000+§Free§0§Everyone§Medical§July 19, 2018§1.16.0§4.1 and up
Tarascon Pharmacopoeia§MEDICAL§4.4§275§5.8M§10,000+§Free§0§Everyone 10+§Medical§March 16, 2018§3.16.4.1669§4.4 and up
Official NBSTSA CST Exam Prep§MEDICAL§4.4§2159§11M§10,000+§Free§0§Everyone§Medical§May 17, 2018§4.5.1§4.4 and up
Open Sesame - Touch Free Control§MEDICAL§4.4§197§20M§10,000+§Free§0§Everyone§Medical§August 2, 2018§3.5.7§7.0 and up
2017 EMRA Antibiotic Guide§MEDICAL§4.4§12§3.8M§1,000+§Paid§$16.99§Everyone§Medical§January 27, 2017§1.0.5§4.0.3 and up
Cardiac diagnosis (heart rate, arrhythmia)§MEDICAL§4.4§8§6.5M§100+§Paid§$12.99§Everyone§Medical§July 25, 2018§7§3.0 and up
PMHNP-BC Pocket Prep§MEDICAL§4.4§112§13M§1,000+§Free§0§Everyone§Medical§July 12, 2018§4.5.2§4.4 and up
Official NBSTSA CSFA Exam Prep§MEDICAL§4.4§137§11M§1,000+§Free§0§Everyone§Medical§May 17, 2018§4.5.1§4.4 and up
Blue CareOnDemand§MEDICAL§4.4§163§40M§10,000+§Free§0§Everyone§Medical§June 29, 2018§10.4.1.015_05§4.0.3 and up
VITAS Hospice Referral App for Healthcare Pros§MEDICAL§4.4§27§15M§5,000+§Free§0§Everyone§Medical§July 20, 2018§2.5.0 b665§5.0 and up
Club§MEDICAL§4.4§3786§28M§50,000+§Free§0§Everyone§Medical§July 16, 2018§4.4.3§4.0.3 and up
Nemours CareConnect§MEDICAL§4.4§65§37M§10,000+§Free§0§Everyone§Medical§April 5, 2018§10.4.1.000_00§4.0.3 and up
Messages, Text and Video Chat for Messenger§SOCIAL§4.4§49173§4.0M§10,000,000+§Free§0§Everyone§Social§June 4, 2018§1.24§4.1 and up
Tumblr§SOCIAL§4.4§2955326§Varies with device§100,000,000+§Free§0§Mature 17+§Social§August 1, 2018§Varies with device§Varies with device
TextNow - free text + calls§SOCIAL§4.4§441189§Varies with device§10,000,000+§Free§0§Everyone§Social§August 3, 2018§Varies with device§Varies with device
The Messenger App§SOCIAL§4.4§4919§2.8M§1,000,000+§Free§0§Everyone§Social§August 3, 2018§0.1.1§4.1 and up
Messenger Pro§SOCIAL§4.4§13762§3.9M§1,000,000+§Free§0§Everyone§Social§May 9, 2018§1.0.2§4.1 and up
The Video Messenger App§SOCIAL§4.4§1200§2.8M§100,000+§Free§0§Everyone§Social§August 2, 2018§0.1.1§4.1 and up
Web Browser & Fast Explorer§SOCIAL§4.4§54768§2.6M§5,000,000+§Free§0§Everyone§Social§May 16, 2018§3.6.1§4.0.3 and up
Web Browser ( Fast & Secure Web Explorer)§SOCIAL§4.4§2508§6.0M§500,000+§Free§0§Everyone§Social§November 20, 2017§2.0.1§4.0.3 and up
Kate Mobile for VK§SOCIAL§4.4§540930§5.3M§10,000,000+§Free§0§Teen§Social§July 23, 2018§50.2 lite§2.2 and up
TextNow - free text + calls§SOCIAL§4.4§441189§Varies with device§10,000,000+§Free§0§Everyone§Social§August 3, 2018§Varies with device§Varies with device
Tumblr§SOCIAL§4.4§2955325§Varies with device§100,000,000+§Free§0§Mature 17+§Social§August 1, 2018§Varies with device§Varies with device
Path§SOCIAL§4.4§1520959§Varies with device§10,000,000+§Free§0§Teen§Social§May 9, 2018§Varies with device§Varies with device
Jaumo Dating, Flirt & Live Video§SOCIAL§4.4§900064§13M§10,000,000+§Free§0§Mature 17+§Social§July 31, 2018§4.17.2§4.1 and up
Zello PTT Walkie Talkie§SOCIAL§4.4§695613§Varies with device§50,000,000+§Free§0§Everyone§Social§August 2, 2018§Varies with device§Varies with device
Jaumo Dating, Flirt & Live Video§SOCIAL§4.4§900064§13M§10,000,000+§Free§0§Mature 17+§Social§July 31, 2018§4.17.2§4.1 and up
Mico- Stranger Chat Random video Chat, Live, Meet§SOCIAL§4.4§624557§56M§10,000,000+§Free§0§Mature 17+§Social§July 27, 2018§5.4.7.1§4.3 and up
Walmart§SHOPPING§4.4§441473§Varies with device§10,000,000+§Free§0§Everyone§Shopping§July 30, 2018§Varies with device§Varies with device
eBay: Buy & Sell this Summer - Discover Deals Now!§SHOPPING§4.4§2788923§Varies with device§100,000,000+§Free§0§Teen§Shopping§July 30, 2018§Varies with device§Varies with device
The wall§SHOPPING§4.4§35563§4.2M§1,000,000+§Free§0§Everyone§Shopping§July 23, 2018§10.2.1§4.1 and up
Jiji.ng§SHOPPING§4.4§25714§12M§1,000,000+§Free§0§Everyone§Shopping§July 24, 2018§3.8.2.2§4.0.3 and up
Bukalapak - Buy and Sell Online§SHOPPING§4.4§662287§21M§10,000,000+§Free§0§Everyone§Shopping§August 3, 2018§4.26.7§4.1 and up
Buscapé - Offers and discounts§SHOPPING§4.4§108592§8.3M§10,000,000+§Free§0§Everyone§Shopping§July 24, 2018§4.7.5§4.1 and up
Flipkart Online Shopping App§SHOPPING§4.4§6012719§Varies with device§100,000,000+§Free§0§Teen§Shopping§August 6, 2018§Varies with device§Varies with device
Coupon Sherpa§SHOPPING§4.4§7793§6.1M§500,000+§Free§0§Everyone§Shopping§February 6, 2018§3.0.3§4.0.3 and up
RetailMeNot - Coupons, Deals & Discount Shopping§SHOPPING§4.4§210208§Varies with device§10,000,000+§Free§0§Everyone§Shopping§August 1, 2018§Varies with device§Varies with device
Mercari: The Selling App§SHOPPING§4.4§101883§13M§10,000,000+§Free§0§Everyone§Shopping§August 3, 2018§6.9.2§5.0 and up
Blidz - Hunt Free Deals On Trending Items!§SHOPPING§4.4§1659§33M§50,000+§Free§0§Everyone§Shopping§June 29, 2018§2.4.0§4.4 and up
RetailMeNot - Coupons, Deals & Discount Shopping§SHOPPING§4.4§210208§Varies with device§10,000,000+§Free§0§Everyone§Shopping§August 1, 2018§Varies with device§Varies with device
eBay: Buy & Sell this Summer - Discover Deals Now!§SHOPPING§4.4§2788923§Varies with device§100,000,000+§Free§0§Teen§Shopping§July 30, 2018§Varies with device§Varies with device
Walmart§SHOPPING§4.4§441473§Varies with device§10,000,000+§Free§0§Everyone§Shopping§July 30, 2018§Varies with device§Varies with device
Best Buy§SHOPPING§4.4§186116§34M§5,000,000+§Free§0§Everyone§Shopping§August 3, 2018§11.6.0§4.4 and up
Shopfully - Weekly Ads & Deals§SHOPPING§4.4§279428§16M§10,000,000+§Free§0§Everyone§Shopping§August 3, 2018§6.4.2§4.4 and up
RetailMeNot - Coupons, Deals & Discount Shopping§SHOPPING§4.4§210208§Varies with device§10,000,000+§Free§0§Everyone§Shopping§August 1, 2018§Varies with device§Varies with device
