App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Pixel Draw - Number Art Coloring Book§ART_AND_DESIGN§4.3§967§2.8M§100,000+§Free§0§Everyone§Art & Design;Creativity§June 20, 2018§1.1§4.4 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91031§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
Foot Mercato: transfers, results, news, live§SPORTS§4.3§39878§6.1M§1,000,000+§Free§0§Everyone§Sports§July 28, 2018§3.6.7§4.1 and up
Premier League - Official App§SPORTS§4.3§63580§24M§5,000,000+§Free§0§Everyone§Sports§July 20, 2018§1.1.5§4.1 and up
Top Mercato: football news§SPORTS§4.3§16016§6.9M§1,000,000+§Free§0§Everyone§Sports§January 7, 2016§2.7.0§4.2 and up
Championat§SPORTS§4.3§36490§Varies with device§1,000,000+§Free§0§Everyone§Sports§July 25, 2018§Varies with device§Varies with device
League18§SPORTS§4.3§14123§13M§500,000+§Free§0§Everyone§Sports§August 1, 2018§4.0.0§4.0 and up
U + professional baseball§SPORTS§4.3§2486§18M§500,000+§Free§0§Everyone§Sports§July 30, 2018§06.11.00§4.4 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91031§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91031§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91031§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
SwingAid - Level up Golf§SPORTS§4.3§752§33M§100,000+§Free§0§Everyone§Sports§July 10, 2018§2.6.3§4.1 and up
The Rules of Golf§SPORTS§4.3§926§9.3M§100,000+§Free§0§Everyone§Sports§January 17, 2018§5.9§4.1 and up
Golfshot: Golf GPS + Tee Times§SPORTS§4.3§7543§25M§500,000+§Free§0§Everyone§Sports§July 11, 2018§1.31.0§4.1 and up
The Championships, Wimbledon 2018§SPORTS§4.3§24082§95M§1,000,000+§Free§0§Everyone§Sports§July 4, 2018§6.5§4.4 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91033§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
Tennis News and Scores§SPORTS§4.3§101§3.9M§10,000+§Free§0§Everyone§Sports§July 15, 2018§5.4§4.1 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91033§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
Golfshot: Golf GPS + Tee Times§SPORTS§4.3§7543§25M§500,000+§Free§0§Everyone§Sports§July 11, 2018§1.31.0§4.1 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91033§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
CityMaps2Go Plan Trips Travel Guide Offline Maps§TRAVEL_AND_LOCAL§4.3§64713§58M§1,000,000+§Free§0§Everyone§Travel & Local§June 9, 2018§10.9.8 (Play)§5.0 and up
Maps - Navigate & Explore§TRAVEL_AND_LOCAL§4.3§9235155§Varies with device§1,000,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
Google Earth§TRAVEL_AND_LOCAL§4.3§2338655§Varies with device§100,000,000+§Free§0§Everyone§Travel & Local§June 18, 2018§9.2.17.13§4.1 and up
Goibibo - Flight Hotel Bus Car IRCTC Booking App§TRAVEL_AND_LOCAL§4.3§459851§Varies with device§10,000,000+§Free§0§Everyone§Travel & Local§August 1, 2018§3.9.7§4.3 and up
Flightradar24 Flight Tracker§TRAVEL_AND_LOCAL§4.3§171889§Varies with device§10,000,000+§Free§0§Everyone§Travel & Local§July 18, 2018§7.8.0§Varies with device
Free Radar Detector§TRAVEL_AND_LOCAL§4.3§15680§11M§1,000,000+§Free§0§Everyone§Travel & Local§July 6, 2018§6.2.3§4.1 and up
NTES§TRAVEL_AND_LOCAL§4.3§165299§5.4M§10,000,000+§Free§0§Everyone§Travel & Local§July 30, 2018§8.0§4.1 and up
MakeMyTrip-Flight Hotel Bus Cab IRCTC Rail Booking§TRAVEL_AND_LOCAL§4.3§599872§Varies with device§10,000,000+§Free§0§Everyone§Travel & Local§August 4, 2018§7.3.3§4.4 and up
Gormey: Find Best Restaurants§TRAVEL_AND_LOCAL§4.3§34§7.6M§1,000+§Free§0§Everyone§Travel & Local§August 29, 2017§2.3§4.0.3 and up
Yelp: Food, Shopping, Services Nearby§TRAVEL_AND_LOCAL§4.3§397422§Varies with device§10,000,000+§Free§0§Teen§Travel & Local§August 3, 2018§Varies with device§Varies with device
Qatar Airways§TRAVEL_AND_LOCAL§4.3§11182§62M§1,000,000+§Free§0§Everyone§Travel & Local§July 30, 2018§11.26§4.1 and up
Hipmunk Hotels & Flights§TRAVEL_AND_LOCAL§4.3§16734§10.0M§1,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§8.8.2§5.0 and up
Hotwire Hotel & Car Rental App§TRAVEL_AND_LOCAL§4.3§10323§Varies with device§1,000,000+§Free§0§Everyone§Travel & Local§July 19, 2018§Varies with device§Varies with device
HomeAway Vacation Rentals§TRAVEL_AND_LOCAL§4.3§30403§Varies with device§5,000,000+§Free§0§Everyone§Travel & Local§August 1, 2018§Varies with device§Varies with device
IHG®: Hotel Deals & Rewards§TRAVEL_AND_LOCAL§4.3§18622§44M§1,000,000+§Free§0§Everyone§Travel & Local§August 3, 2018§4.15.1§4.4 and up
Maps - Navigate & Explore§TRAVEL_AND_LOCAL§4.3§9235373§Varies with device§1,000,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
Calculator§TOOLS§4.3§40770§Varies with device§100,000,000+§Free§0§Everyone§Tools§November 21, 2017§Varies with device§Varies with device
Samsung Max - Data Savings & Privacy Protection§TOOLS§4.3§330468§Varies with device§10,000,000+§Free§0§Everyone§Tools§May 29, 2018§Varies with device§Varies with device
TouchPal Keyboard for vivo§TOOLS§4.3§357§58M§1,000,000+§Free§0§Everyone§Tools§May 30, 2018§6.2.6.7§4.0.3 and up
Puzzle Alarm Clock ⏰§TOOLS§4.3§32111§5.3M§1,000,000+§Free§0§Everyone§Tools§August 3, 2018§3.1.0.1126§4.4 and up
Alarm Clock§TOOLS§4.3§114788§Varies with device§5,000,000+§Free§0§Everyone§Tools§January 22, 2018§Varies with device§Varies with device
Flashlight & LED Torch§TOOLS§4.3§111507§Varies with device§10,000,000+§Free§0§Everyone§Tools§December 29, 2017§Varies with device§Varies with device
Flashlight HD LED§TOOLS§4.3§618918§Varies with device§50,000,000+§Free§0§Everyone§Tools§July 28, 2018§Varies with device§Varies with device
Super Flashlight + LED§TOOLS§4.3§54207§4.4M§5,000,000+§Free§0§Everyone§Tools§July 11, 2017§3.2§3.0 and up
Scientific Calculator Free§TOOLS§4.3§16395§Varies with device§1,000,000+§Free§0§Everyone§Tools§June 28, 2018§Varies with device§Varies with device
SuperVPN Free VPN Client§TOOLS§4.3§576454§6.1M§50,000,000+§Free§0§Everyone§Tools§February 5, 2018§2.0.9§4.0.3 and up
Fast Secure VPN§TOOLS§4.3§56848§9.6M§1,000,000+§Free§0§Everyone§Tools§May 18, 2018§1.6.11§4.1 and up
FREEDOME VPN Unlimited anonymous Wifi Security§TOOLS§4.3§39833§9.9M§1,000,000+§Free§0§Everyone§Tools§July 9, 2018§2.5.1.7592§4.0.3 and up
Google Handwriting Input§TOOLS§4.3§94427§Varies with device§10,000,000+§Free§0§Everyone§Tools§August 2, 2018§Varies with device§Varies with device
Wifi Inspector§TOOLS§4.3§63712§Varies with device§5,000,000+§Free§0§Everyone§Tools§May 12, 2016§Varies with device§2.3 and up
Diamond Zipper Lock Screen§PERSONALIZATION§4.3§71688§12M§10,000,000+§Free§0§Everyone§Personalization§June 11, 2018§3.5§4.1 and up
Lovely Cute Pink Kitty Cat Keyboard Theme§PERSONALIZATION§4.3§2267§7.2M§500,000+§Free§0§Everyone§Personalization§July 9, 2018§6.7.5§4.0.3 and up
Apex Launcher§PERSONALIZATION§4.3§266401§Varies with device§10,000,000+§Free§0§Everyone§Personalization§August 4, 2018§Varies with device§Varies with device
Door Lock Screen§PERSONALIZATION§4.3§5413§3.9M§1,000,000+§Free§0§Everyone§Personalization§July 28, 2018§3.3.a§4.0 and up
Live 3D Neon Blue Love Heart Keyboard Theme§PERSONALIZATION§4.3§6626§9.1M§1,000,000+§Free§0§Everyone§Personalization§July 25, 2018§6.7.25.2018§4.0.3 and up
Colorful Glitter Neon Butterfly Keyboard Theme§PERSONALIZATION§4.3§2056§9.8M§500,000+§Free§0§Everyone§Personalization§July 25, 2018§6.7.24.2018§4.0.3 and up
Ringtone Maker§PERSONALIZATION§4.3§495905§Varies with device§50,000,000+§Free§0§Everyone§Personalization§July 29, 2018§Varies with device§Varies with device
HD Widgets§PERSONALIZATION§4.3§58617§26M§1,000,000+§Paid§$0.99§Everyone§Personalization§December 7, 2016§4.3.2§4.4 and up
icon wallpaper dressup💞CocoPPa§PERSONALIZATION§4.3§595120§Varies with device§10,000,000+§Free§0§Everyone§Personalization§July 10, 2018§Varies with device§Varies with device
The real aquarium - HD§PERSONALIZATION§4.3§100130§Varies with device§5,000,000+§Free§0§Everyone§Personalization§June 25, 2018§Varies with device§Varies with device
Dog Licks Screen Wallpaper§PERSONALIZATION§4.3§63624§10M§5,000,000+§Free§0§Everyone§Personalization§November 20, 2017§11.0§4.0.3 and up
Sun Rise Free Live Wallpaper§PERSONALIZATION§4.3§86481§8.6M§10,000,000+§Free§0§Everyone§Personalization§January 31, 2018§4.8.3§4.0 and up
Wolves Live Wallpaper§PERSONALIZATION§4.3§10401§3.3M§1,000,000+§Free§0§Everyone§Personalization§October 27, 2017§7.5§4.1 and up
Apex Launcher§PERSONALIZATION§4.3§266402§Varies with device§10,000,000+§Free§0§Everyone§Personalization§August 4, 2018§Varies with device§Varies with device
ADW Launcher 2§PERSONALIZATION§4.3§181399§Varies with device§10,000,000+§Free§0§Everyone§Personalization§December 8, 2017§Varies with device§Varies with device
BIG Launcher§PERSONALIZATION§4.3§881§5.9M§10,000+§Paid§$9.99§Everyone§Personalization§June 20, 2018§2.5.9§2.1 and up
ai.type Free Emoji Keyboard§PERSONALIZATION§4.3§647844§Varies with device§10,000,000+§Free§0§Everyone§Personalization§July 24, 2018§Varies with device§Varies with device
Adobe Acrobat Reader§PRODUCTIVITY§4.3§3016297§Varies with device§100,000,000+§Free§0§Everyone§Productivity§April 17, 2018§Varies with device§Varies with device
Microsoft Outlook§PRODUCTIVITY§4.3§3252896§50M§100,000,000+§Free§0§Everyone§Productivity§August 2, 2018§2.2.194§4.4 and up
Google Docs§PRODUCTIVITY§4.3§815981§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
My Airtel-Online Recharge, Pay Bill, Wallet, UPI§PRODUCTIVITY§4.3§1498393§14M§50,000,000+§Free§0§Everyone§Productivity§August 2, 2018§4.3.2.0§4.2 and up
Verizon Cloud§PRODUCTIVITY§4.3§185632§Varies with device§50,000,000+§Free§0§Everyone§Productivity§July 18, 2018§Varies with device§4.4 and up
IFTTT§PRODUCTIVITY§4.3§117255§Varies with device§1,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
CM FILE MANAGER HD§PRODUCTIVITY§4.3§144879§Varies with device§10,000,000+§Free§0§Everyone§Productivity§January 24, 2016§3.5.0§Varies with device
File Browser by Astro (File Manager)§PRODUCTIVITY§4.3§609182§9.2M§50,000,000+§Free§0§Everyone§Productivity§July 2, 2018§6.4.0§4.0 and up
Adobe Acrobat Reader§PRODUCTIVITY§4.3§3016305§Varies with device§100,000,000+§Free§0§Everyone§Productivity§April 17, 2018§Varies with device§Varies with device
Google Sheets§PRODUCTIVITY§4.3§496399§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Google Docs§PRODUCTIVITY§4.3§815974§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Polaris Office - Word, Docs, Sheets, Slide, PDF§PRODUCTIVITY§4.3§549900§60M§10,000,000+§Free§0§Everyone§Productivity§July 18, 2018§7.3.30§4.1 and up
Simple Notepad§PRODUCTIVITY§4.3§12321§713k§1,000,000+§Free§0§Everyone§Productivity§December 25, 2016§2.0.1§2.3 and up
Notepad & To do list§PRODUCTIVITY§4.3§226295§4.2M§10,000,000+§Free§0§Everyone§Productivity§June 6, 2018§4.3.19§2.3.3 and up
Planning Center Services§PRODUCTIVITY§4.3§5157§Varies with device§500,000+§Free§0§Everyone§Productivity§July 31, 2018§Varies with device§Varies with device
Jorte Calendar & Organizer§PRODUCTIVITY§4.3§198051§Varies with device§10,000,000+§Free§0§Everyone§Productivity§July 30, 2018§Varies with device§Varies with device
pCloud: Free Cloud Storage§PRODUCTIVITY§4.3§16149§Varies with device§1,000,000+§Free§0§Everyone§Productivity§July 24, 2018§Varies with device§Varies with device
Weather Radar Widget§WEATHER§4.3§18194§3.2M§1,000,000+§Free§0§Everyone§Weather§June 28, 2017§1.7.7§3.0 and up
APE Weather ( Live Forecast)§WEATHER§4.3§20008§9.1M§5,000,000+§Free§0§Everyone§Weather§July 3, 2018§7.1.34.28§5.0 and up
Info BMKG§WEATHER§4.3§21404§7.6M§1,000,000+§Free§0§Everyone§Weather§June 15, 2017§2.2§4.4 and up
Weather From DMI/YR§WEATHER§4.3§2143§Varies with device§100,000+§Free§0§Everyone§Weather§July 31, 2018§Varies with device§Varies with device
YouTube§VIDEO_PLAYERS§4.3§25655305§Varies with device§1,000,000,000+§Free§0§Teen§Video Players & Editors§August 2, 2018§Varies with device§Varies with device
All Video Downloader 2018§VIDEO_PLAYERS§4.3§7557§5.6M§1,000,000+§Free§0§Everyone§Video Players & Editors§July 25, 2018§1.0.1§4.4 and up
HD Video Player§VIDEO_PLAYERS§4.3§1551§2.9M§1,000,000+§Free§0§Everyone§Video Players & Editors§July 25, 2018§1.1§4.1 and up
YouTube Studio§VIDEO_PLAYERS§4.3§436921§Varies with device§10,000,000+§Free§0§Teen§Video Players & Editors§June 28, 2018§Varies with device§Varies with device
Vigo Video§VIDEO_PLAYERS§4.3§1615596§Varies with device§50,000,000+§Free§0§Teen§Video Players & Editors§August 3, 2018§Varies with device§4.0.3 and up
Play Tube§VIDEO_PLAYERS§4.3§15874§5.4M§1,000,000+§Free§0§Everyone§Video Players & Editors§July 5, 2018§1.2§4.1 and up
Video Status§VIDEO_PLAYERS§4.3§6685§4.0M§1,000,000+§Free§0§Everyone§Video Players & Editors§August 2, 2018§1.1.4§4.1 and up
amazer - Global Kpop Video Community§VIDEO_PLAYERS§4.3§1215§23M§100,000+§Free§0§Everyone 10+§Video Players & Editors§July 20, 2018§1.5.4§4.1 and up
BaBe + - Indonesian News§NEWS_AND_MAGAZINES§4.3§42624§16M§1,000,000+§Free§0§Everyone 10+§News & Magazines§August 1, 2018§6.6.4§4.0 and up
BBC News§NEWS_AND_MAGAZINES§4.3§296781§Varies with device§10,000,000+§Free§0§Everyone 10+§News & Magazines§July 24, 2018§Varies with device§Varies with device
BaBe - Read News§NEWS_AND_MAGAZINES§4.3§355921§17M§10,000,000+§Free§0§Teen§News & Magazines§August 1, 2018§9.1.4§4.0 and up
Nigeria News NAIJ.com§NEWS_AND_MAGAZINES§4.3§37882§9.1M§1,000,000+§Free§0§Teen§News & Magazines§June 1, 2018§8.2.9§4.0.3 and up
Dailyhunt (Newshunt) - Latest News, Viral Videos§NEWS_AND_MAGAZINES§4.3§948198§Varies with device§50,000,000+§Free§0§Teen§News & Magazines§July 19, 2018§Varies with device§Varies with device
BBC Persian | BBC Farsi News§NEWS_AND_MAGAZINES§4.3§978§2.9M§100,000+§Free§0§Everyone§News & Magazines§May 12, 2018§1.8.2§4.0.3 and up
Twitter§NEWS_AND_MAGAZINES§4.3§11667403§Varies with device§500,000,000+§Free§0§Mature 17+§News & Magazines§August 6, 2018§Varies with device§Varies with device
Dezeen Magazine RSS Reader§NEWS_AND_MAGAZINES§4.3§350§14M§10,000+§Free§0§Everyone§News & Magazines§July 22, 2018§3.000.1§4.2 and up
BuzzFeed: News, Tasty, Quizzes§NEWS_AND_MAGAZINES§4.3§131028§13M§5,000,000+§Free§0§Teen§News & Magazines§July 30, 2018§5.38§4.4 and up
BBC News§NEWS_AND_MAGAZINES§4.3§296781§Varies with device§10,000,000+§Free§0§Everyone 10+§News & Magazines§July 24, 2018§Varies with device§Varies with device
Reuters News§NEWS_AND_MAGAZINES§4.3§13169§25M§1,000,000+§Free§0§Everyone 10+§News & Magazines§June 6, 2018§3.4.4§4.1 and up
Haystack TV: Local & World News - Free§NEWS_AND_MAGAZINES§4.3§3684§Varies with device§100,000+§Free§0§Everyone 10+§News & Magazines§August 2, 2018§Varies with device§Varies with device
News Republic§NEWS_AND_MAGAZINES§4.3§479594§18M§10,000,000+§Free§0§Teen§News & Magazines§July 28, 2018§9.2.3§4.0 and up
Twitter§NEWS_AND_MAGAZINES§4.3§11667403§Varies with device§500,000,000+§Free§0§Mature 17+§News & Magazines§August 6, 2018§Varies with device§Varies with device
BBC News§NEWS_AND_MAGAZINES§4.3§296781§Varies with device§10,000,000+§Free§0§Everyone 10+§News & Magazines§July 24, 2018§Varies with device§Varies with device
CBS News§NEWS_AND_MAGAZINES§4.3§23641§23M§1,000,000+§Free§0§Everyone 10+§News & Magazines§June 29, 2018§3.9.0§4.1 and up
Haystack TV: Local & World News - Free§NEWS_AND_MAGAZINES§4.3§3684§Varies with device§100,000+§Free§0§Everyone 10+§News & Magazines§August 2, 2018§Varies with device§Varies with device
BuzzFeed: News, Tasty, Quizzes§NEWS_AND_MAGAZINES§4.3§131028§13M§5,000,000+§Free§0§Teen§News & Magazines§July 30, 2018§5.38§4.4 and up
Air Traffic§MAPS_AND_NAVIGATION§4.3§14110§6.8M§1,000,000+§Free§0§Everyone§Maps & Navigation§July 24, 2018§4.3§5.0 and up
Compass§MAPS_AND_NAVIGATION§4.3§286454§3.7M§10,000,000+§Free§0§Everyone§Maps & Navigation§August 9, 2016§2.1.2§2.3 and up
My Location: GPS Maps, Share & Save Places§MAPS_AND_NAVIGATION§4.3§29768§Varies with device§5,000,000+§Free§0§Everyone§Maps & Navigation§August 4, 2018§Varies with device§Varies with device
Czech Public Transport IDOS§MAPS_AND_NAVIGATION§4.3§26014§7.7M§1,000,000+§Free§0§Everyone§Maps & Navigation§November 6, 2017§2.4.1§4.0.3 and up
Soviet Military Maps Free§MAPS_AND_NAVIGATION§4.3§21589§5.6M§1,000,000+§Free§0§Everyone§Maps & Navigation§August 1, 2018§5.1.0 free§4.0 and up
GPS Traffic Speedcam Route Planner by ViaMichelin§MAPS_AND_NAVIGATION§4.3§63920§29M§5,000,000+§Free§0§Everyone§Maps & Navigation§July 28, 2018§7.16.8§4.0.3 and up
Map Coordinates§MAPS_AND_NAVIGATION§4.3§16657§3.6M§1,000,000+§Free§0§Everyone§Maps & Navigation§July 17, 2018§4.7.5§4.0.3 and up
GPS Speedometer - Trip Meter - Altimeter§MAPS_AND_NAVIGATION§4.3§32225§3.2M§1,000,000+§Free§0§Everyone§Maps & Navigation§July 26, 2018§2.0.0§4.2 and up
Subway Terminator: Smarter Subway§MAPS_AND_NAVIGATION§4.3§70556§26M§10,000,000+§Free§0§Everyone§Maps & Navigation§July 17, 2018§4.76§4.0 and up
Alopec - Online Shipping System§MAPS_AND_NAVIGATION§4.3§1240§14M§100,000+§Free§0§Everyone§Maps & Navigation§November 2, 2017§2.4.1§4.1 and up
Rope Hero Return of a Legend§GAME§4.3§9951§96M§1,000,000+§Free§0§Mature 17+§Arcade§August 26, 2016§1.0§2.3 and up
Draw a Stickman: EPIC 2 Free§GAME§4.3§213340§24M§10,000,000+§Free§0§Everyone§Adventure§June 14, 2018§1.2.1.49§4.0 and up
Akinator§FAMILY§4.3§1805398§55M§50,000,000+§Free§0§Teen§Entertainment§June 11, 2018§6.5.2§4.4 and up
Pou§FAMILY§4.3§10483141§24M§500,000,000+§Free§0§Everyone§Casual§May 25, 2018§1.4.77§4.0 and up
CompTIA A+ Pocket Prep§FAMILY§4.3§1311§14M§10,000+§Free§0§Everyone§Education§July 11, 2018§4.5.2§4.4 and up
Adobe Acrobat Reader§PRODUCTIVITY§4.3§3014548§Varies with device§100,000,000+§Free§0§Everyone§Productivity§April 17, 2018§Varies with device§Varies with device
Magisto Video Editor & Maker§VIDEO_PLAYERS§4.3§960726§Varies with device§10,000,000+§Free§0§Everyone§Video Players & Editors§August 2, 2018§Varies with device§Varies with device
Lep's World 2 🍀🍀§GAME§4.3§798522§57M§100,000,000+§Free§0§Everyone 10+§Arcade§June 7, 2018§1.9.8.0§4.1 and up
Amazon Shopping§SHOPPING§4.3§908525§42M§100,000,000+§Free§0§Teen§Shopping§July 31, 2018§16.14.0.100§4.4 and up
Fake Call - Fake Caller ID§PRODUCTIVITY§4.3§154668§Varies with device§10,000,000+§Free§0§Everyone§Productivity§August 2, 2018§Varies with device§Varies with device
Chick-fil-A§FOOD_AND_DRINK§4.3§27931§17M§5,000,000+§Free§0§Everyone§Food & Drink§August 3, 2018§6.0.1§5.0 and up
4 in a row§GAME§4.3§47698§4.1M§5,000,000+§Free§0§Everyone§Board§April 12, 2016§1.0.21§1.5 and up
YouTube§VIDEO_PLAYERS§4.3§25623548§Varies with device§1,000,000,000+§Free§0§Teen§Video Players & Editors§August 2, 2018§Varies with device§Varies with device
Four In A Line Free§GAME§4.3§133195§11M§5,000,000+§Free§0§Everyone§Board§June 11, 2018§1.58§4.1 and up
Flow Free§FAMILY§4.3§1295293§11M§100,000,000+§Free§0§Everyone§Puzzle§April 11, 2018§4.0§4.1 and up
► MultiCraft ― Free Miner! 👍§GAME§4.3§1305050§Varies with device§50,000,000+§Free§0§Everyone 10+§Adventure§July 29, 2018§1.1.11.11§4.1 and up
B-52 Spirits of Glory Deluxe§GAME§4.3§12§29M§100+§Paid§$0.99§Everyone§Arcade§September 2, 2017§1.5.9§2.3 and up
Servers Ultimate Pack B§TOOLS§4.3§668§13M§50,000+§Free§0§Everyone§Tools§March 31, 2016§2.1.8§2.1 and up
C Programming§FAMILY§4.3§22248§1.8M§1,000,000+§Free§0§Everyone§Education§June 28, 2015§3.0§2.3 and up
Mobile C [ C/C++ Compiler ]§FAMILY§4.3§4624§78M§100,000+§Free§0§Everyone§Education§July 7, 2018§2.5.1§4.0.3 and up
Google Chrome: Fast & Secure§COMMUNICATION§4.3§9642112§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 1, 2018§Varies with device§Varies with device
learn c in hindi§FAMILY§4.3§109§2.7M§5,000+§Free§0§Everyone§Education§June 24, 2017§4.1§4.0 and up
Learn C Programming (Examples) (OFFLINE)§FAMILY§4.3§43§3.7M§10,000+§Free§0§Everyone§Education§December 16, 2017§1.0.3§4.1 and up
Let us C - Example Programs§FAMILY§4.3§36§1.1M§5,000+§Free§0§Everyone§Education§August 30, 2017§1.2§3.0 and up
Fruit Ninja®§GAME§4.3§5091448§41M§100,000,000+§Free§0§Everyone§Arcade§July 12, 2018§2.6.7.487220§4.1 and up
Temple Run 2§GAME§4.3§8116142§62M§500,000,000+§Free§0§Everyone§Action§July 5, 2018§1.49.1§4.0 and up
Bad Piggies§FAMILY§4.3§1168959§66M§50,000,000+§Free§0§Everyone§Puzzle§May 3, 2017§2.3.3§4.1 and up
Temple Run§GAME§4.3§4000433§42M§100,000,000+§Free§0§Everyone§Arcade§August 2, 2018§1.9.1§4.0 and up
Maps & GPS Navigation OsmAnd+§TRAVEL_AND_LOCAL§4.3§15209§Varies with device§100,000+§Paid§$8.99§Everyone§Travel & Local§August 1, 2018§Varies with device§Varies with device
Microsoft Edge§COMMUNICATION§4.3§27156§66M§5,000,000+§Free§0§Everyone§Communication§July 28, 2018§42.0.0.2059§4.4 and up
Microsoft Outlook§PRODUCTIVITY§4.3§3249518§50M§100,000,000+§Free§0§Everyone§Productivity§August 2, 2018§2.2.194§4.4 and up
Aab e Hayat Full Novel§BOOKS_AND_REFERENCE§4.3§1476§41M§100,000+§Free§0§Everyone§Books & Reference§February 21, 2017§1.0§3.0 and up
Gmail§COMMUNICATION§4.3§4604324§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 2, 2018§Varies with device§Varies with device
Maps - Navigate & Explore§TRAVEL_AND_LOCAL§4.3§9231613§Varies with device§1,000,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
Synd e-Passbook§FINANCE§4.3§9400§6.1M§1,000,000+§Free§0§Everyone§Finance§May 12, 2016§1.09§2.2 and up
Facebook Lite§SOCIAL§4.3§8595964§Varies with device§500,000,000+§Free§0§Teen§Social§August 1, 2018§Varies with device§Varies with device
Offroad Pickup Truck F§FAMILY§4.3§4551§79M§500,000+§Free§0§Everyone§Simulation§December 26, 2017§1.0§2.3 and up
Talking Tom Cat 2§FAMILY§4.3§3213548§55M§100,000,000+§Free§0§Everyone 10+§Entertainment§July 25, 2018§5.3.5.16§4.1 and up
FlashLight F.Light§TOOLS§4.3§3943§11M§100,000+§Free§0§Everyone§Tools§May 23, 2018§1.4.2§5.0 and up
Twitter§NEWS_AND_MAGAZINES§4.3§11657972§Varies with device§500,000,000+§Free§0§Mature 17+§News & Magazines§July 30, 2018§Varies with device§Varies with device
F-Secure SAFE§TOOLS§4.3§9433§9.3M§500,000+§Free§0§Everyone§Tools§July 30, 2018§17.4.0014017§5.0 and up
imo beta free calls and text§COMMUNICATION§4.3§659395§11M§100,000,000+§Free§0§Everyone§Communication§June 7, 2018§9.8.000000010492§4.0 and up
Offroad Car G§FAMILY§4.3§64884§37M§5,000,000+§Free§0§Everyone§Simulation§July 12, 2016§1§2.3.3 and up
Wrestling Revolution 3D§SPORTS§4.3§989344§51M§50,000,000+§Free§0§Teen§Sports§July 23, 2018§1.640§4.0 and up
G-NetTrack Pro§TOOLS§4.3§255§1.6M§5,000+§Paid§$14.99§Everyone§Tools§July 25, 2018§14.6§4.0 and up
G Theme 2 for LG V30, LG G6§PERSONALIZATION§4.3§25§15M§500+§Paid§$1.49§Everyone§Personalization§December 13, 2017§1.0.2§7.0 and up
HSPA+ Tweaker (3G booster)§TOOLS§4.3§99290§3.9M§5,000,000+§Free§0§Everyone§Tools§December 5, 2017§3.1 Release b2§2.3 and up
DNS Changer - BEST (Gprs/Edge/3G/H/H+/4G)§TOOLS§4.3§123§1.9M§5,000+§Free§0§Everyone§Tools§September 30, 2017§1.2§4.0 and up
most expensive app (H)§FAMILY§4.3§6§1.5M§100+§Paid§$399.99§Everyone§Entertainment§July 16, 2018§1.0§7.0 and up
AntennaPict β§COMMUNICATION§4.3§15439§2.2M§1,000,000+§Free§0§Everyone§Communication§November 7, 2016§2.0.0§2.3 and up
H TV§FAMILY§4.3§103064§5.6M§5,000,000+§Free§0§Everyone§Entertainment§July 5, 2018§4.6.2§2.3.3 and up
Talking Ben the Dog§FAMILY§4.3§1633565§57M§100,000,000+§Free§0§Everyone§Entertainment§July 3, 2018§3.5.2.2§4.1 and up
imo free video calls and chat§COMMUNICATION§4.3§4785892§11M§500,000,000+§Free§0§Everyone§Communication§June 8, 2018§9.8.000000010501§4.0 and up
NinJump§GAME§4.3§421000§36M§10,000,000+§Free§0§Everyone§Arcade§June 13, 2018§3.1.1§4.1 and up
